venda_id,data,loja_id,produto_id,vendedor_id,quantidade,preco_unitario,desconto_pct,valor_total,custo_total,margem
38,2023-01-01,L002,P001,V004,1,45.9,0.0,45.9,18.0,27.9
39,2023-01-01,L002,P005,V004,4,12.9,0.0,51.6,18.0,33.6
40,2023-01-01,L002,P008,V003,4,3.9,0.0,15.6,4.8,10.8
41,2023-01-01,L003,P002,V003,2,42.9,0.0,85.8,34.0,51.8
42,2023-01-01,L003,P005,V002,2,12.9,0.0,25.8,9.0,16.8
43,2023-01-01,L003,P008,V003,1,3.9,0.0,3.9,1.2,2.7
44,2023-01-01,L003,P008,V006,4,3.9,0.0,15.6,4.8,10.8
45,2023-01-01,L003,P008,V001,4,3.9,0.0,15.6,4.8,10.8
46,2023-01-01,L003,P007,V006,1,38.9,0.0,38.9,14.0,24.9
47,2023-01-01,L003,P002,V005,1,42.9,0.0,42.9,17.0,25.9
48,2023-01-01,L003,P008,V002,1,3.9,0.0,3.9,1.2,2.7
49,2023-01-01,L003,P002,V004,2,42.9,0.0,85.8,34.0,51.8
50,2023-01-01,L003,P006,V003,2,10.9,0.0,21.8,7.6,14.2
51,2023-01-01,L003,P008,V006,2,3.9,0.0,7.8,2.4,5.4
52,2023-01-01,L003,P007,V002,2,38.9,0.0,77.8,28.0,49.8
53,2023-01-01,L003,P008,V003,3,3.9,0.0,11.7,3.6,8.1
54,2023-01-01,L003,P001,V002,4,45.9,0.0,183.6,72.0,111.6
55,2023-01-01,L003,P001,V003,2,45.9,0.0,91.8,36.0,55.8
56,2023-01-01,L004,P006,V003,6,10.9,0.0,65.4,22.8,42.6
57,2023-01-01,L004,P001,V002,3,45.9,0.0,137.7,54.0,83.7
58,2023-01-01,L004,P007,V006,1,38.9,0.0,38.9,14.0,24.9
59,2023-01-01,L004,P005,V002,1,12.9,0.0,12.9,4.5,8.4
60,2023-01-01,L004,P008,V004,2,3.9,0.0,7.8,2.4,5.4
61,2023-01-01,L004,P006,V006,3,10.9,0.0,32.7,11.4,21.3
62,2023-01-01,L004,P006,V002,5,10.9,0.0,54.5,19.0,35.5
63,2023-01-01,L004,P005,V002,1,12.9,0.0,12.9,4.5,8.4
64,2023-01-01,L004,P002,V006,1,42.9,0.0,42.9,17.0,25.9
65,2023-01-01,L004,P007,V005,6,38.9,0.0,233.4,84.0,149.4
66,2023-01-01,L004,P005,V006,2,12.9,0.0,25.8,9.0,16.8
67,2023-01-01,L004,P007,V004,1,38.9,0.0,38.9,14.0,24.9
68,2023-01-01,L004,P007,V004,5,38.9,0.0,194.5,70.0,124.5
69,2023-01-01,L004,P005,V002,1,12.9,0.0,12.9,4.5,8.4
70,2023-01-01,L004,P002,V005,6,42.9,0.0,257.4,102.0,155.4
71,2023-01-01,L004,P006,V001,2,10.9,0.0,21.8,7.6,14.2
72,2023-01-01,L004,P001,V001,4,45.9,0.0,183.6,72.0,111.6
73,2023-01-01,L004,P002,V006,3,42.9,0.0,128.7,51.0,77.7
74,2023-01-01,L004,P002,V006,5,42.9,0.0,214.5,85.0,129.5
75,2023-01-01,L005,P006,V005,6,10.9,0.0,65.4,22.8,42.6
76,2023-01-01,L005,P001,V004,1,45.9,0.0,45.9,18.0,27.9
77,2023-01-01,L005,P006,V005,1,10.9,0.0,10.9,3.8,7.1
78,2023-01-01,L005,P006,V005,2,10.9,0.0,21.8,7.6,14.2
79,2023-01-01,L005,P005,V005,1,12.9,0.0,12.9,4.5,8.4
80,2023-01-01,L005,P001,V006,1,45.9,0.0,45.9,18.0,27.9
81,2023-01-01,L005,P008,V001,2,3.9,0.0,7.8,2.4,5.4
82,2023-01-01,L005,P008,V005,3,3.9,0.0,11.7,3.6,8.1
83,2023-01-01,L005,P005,V006,1,12.9,0.0,12.9,4.5,8.4
84,2023-01-01,L005,P005,V001,5,12.9,0.0,64.5,22.5,42.0
85,2023-01-01,L005,P005,V004,2,12.9,0.0,25.8,9.0,16.8
86,2023-01-01,L005,P002,V004,1,42.9,0.0,42.9,17.0,25.9
87,2023-01-01,L005,P001,V006,1,45.9,0.0,45.9,18.0,27.9
88,2023-01-01,L005,P008,V003,4,3.9,0.0,15.6,4.8,10.8
89,2023-01-01,L005,P007,V002,1,38.9,0.0,38.9,14.0,24.9
90,2023-01-01,L005,P007,V001,3,38.9,0.0,116.7,42.0,74.7
91,2023-01-01,L005,P008,V003,5,3.9,0.0,19.5,6.0,13.5
92,2023-01-01,L005,P008,V005,2,3.9,0.0,7.8,2.4,5.4
93,2023-01-01,L006,P007,V002,1,38.9,0.0,38.9,14.0,24.9
94,2023-01-01,L006,P002,V003,3,42.9,0.0,128.7,51.0,77.7
95,2023-01-01,L006,P002,V005,2,42.9,0.0,85.8,34.0,51.8
96,2023-01-01,L006,P007,V001,3,38.9,0.0,116.7,42.0,74.7
97,2023-01-01,L006,P007,V003,1,38.9,0.0,38.9,14.0,24.9
98,2023-01-01,L006,P006,V001,4,10.9,0.0,43.6,15.2,28.4
99,2023-01-01,L006,P001,V003,1,45.9,0.0,45.9,18.0,27.9
100,2023-01-01,L006,P005,V002,1,12.9,0.0,12.9,4.5,8.4
101,2023-01-01,L006,P001,V002,4,45.9,0.0,183.6,72.0,111.6
102,2023-01-01,L007,P007,V001,4,38.9,0.0,155.6,56.0,99.6
103,2023-01-01,L007,P001,V006,1,45.9,0.0,45.9,18.0,27.9
104,2023-01-01,L007,P006,V001,1,10.9,0.0,10.9,3.8,7.1
105,2023-01-01,L007,P007,V002,1,38.9,0.0,38.9,14.0,24.9
106,2023-01-01,L007,P002,V006,1,42.9,0.0,42.9,17.0,25.9
107,2023-01-01,L007,P006,V005,2,10.9,0.0,21.8,7.6,14.2
108,2023-01-01,L007,P002,V003,2,42.9,0.0,85.8,34.0,51.8
109,2023-01-01,L007,P007,V005,5,38.9,0.0,194.5,70.0,124.5
110,2023-01-01,L007,P006,V002,4,10.9,0.0,43.6,15.2,28.4
111,2023-01-01,L007,P007,V006,4,38.9,0.0,155.6,56.0,99.6
112,2023-01-01,L008,P008,V002,1,3.9,0.0,3.9,1.2,2.7
113,2023-01-01,L008,P008,V003,5,3.9,0.0,19.5,6.0,13.5
114,2023-01-01,L008,P006,V006,1,10.9,0.0,10.9,3.8,7.1
115,2023-01-01,L008,P008,V003,2,3.9,0.0,7.8,2.4,5.4
116,2023-01-01,L008,P006,V005,5,10.9,0.0,54.5,19.0,35.5
117,2023-01-01,L008,P006,V001,5,10.9,0.0,54.5,19.0,35.5
118,2023-01-01,L008,P002,V002,1,42.9,0.0,42.9,17.0,25.9
119,2023-01-01,L008,P001,V003,3,45.9,0.0,137.7,54.0,83.7
120,2023-01-01,L008,P001,V005,1,45.9,0.0,45.9,18.0,27.9
121,2023-01-01,L008,P007,V002,2,38.9,0.0,77.8,28.0,49.8
122,2023-01-01,L008,P007,V002,1,38.9,0.0,38.9,14.0,24.9
123,2023-01-01,L008,P001,V001,1,45.9,0.0,45.9,18.0,27.9
124,2023-01-01,L008,P008,V006,2,3.9,0.0,7.8,2.4,5.4
125,2023-01-01,L009,P001,V002,5,45.9,0.0,229.5,90.0,139.5
126,2023-01-01,L009,P001,V001,4,45.9,0.0,183.6,72.0,111.6
127,2023-01-01,L009,P005,V001,1,12.9,0.0,12.9,4.5,8.4
128,2023-01-01,L009,P007,V002,1,38.9,0.0,38.9,14.0,24.9
129,2023-01-01,L009,P005,V006,1,12.9,0.0,12.9,4.5,8.4
130,2023-01-01,L009,P006,V002,5,10.9,0.0,54.5,19.0,35.5
131,2023-01-01,L009,P007,V002,3,38.9,0.0,116.7,42.0,74.7
132,2023-01-01,L009,P008,V005,1,3.9,0.0,3.9,1.2,2.7
133,2023-01-01,L009,P007,V004,3,38.9,0.0,116.7,42.0,74.7
134,2023-01-01,L009,P002,V004,5,42.9,0.0,214.5,85.0,129.5
135,2023-01-01,L010,P006,V002,1,10.9,0.0,10.9,3.8,7.1
136,2023-01-01,L010,P001,V001,4,45.9,0.0,183.6,72.0,111.6
137,2023-01-01,L010,P008,V004,1,3.9,0.0,3.9,1.2,2.7
138,2023-01-01,L010,P005,V004,3,12.9,0.0,38.7,13.5,25.2
139,2023-01-01,L010,P006,V004,6,10.9,0.0,65.4,22.8,42.6
140,2023-01-01,L010,P008,V001,5,3.9,0.0,19.5,6.0,13.5
141,2023-01-01,L010,P008,V006,3,3.9,0.0,11.7,3.6,8.1
142,2023-01-01,L010,P008,V001,1,3.9,0.0,3.9,1.2,2.7
143,2023-01-01,L010,P001,V004,3,45.9,0.0,137.7,54.0,83.7
144,2023-01-01,L010,P008,V003,5,3.9,0.0,19.5,6.0,13.5
145,2023-01-01,L010,P001,V002,2,45.9,0.0,91.8,36.0,55.8
146,2023-01-01,L010,P002,V002,8,42.9,0.0,343.2,136.0,207.2
147,2023-01-01,L010,P007,V004,1,38.9,0.0,38.9,14.0,24.9
148,2023-01-01,L011,P002,V004,3,42.9,0.0,128.7,51.0,77.7
149,2023-01-01,L011,P002,V003,1,42.9,0.0,42.9,17.0,25.9
150,2023-01-01,L011,P006,V002,5,10.9,0.0,54.5,19.0,35.5
151,2023-01-01,L011,P001,V004,2,45.9,0.0,91.8,36.0,55.8
152,2023-01-01,L011,P007,V001,1,38.9,0.0,38.9,14.0,24.9
153,2023-01-01,L011,P001,V006,3,45.9,0.0,137.7,54.0,83.7
154,2023-01-01,L011,P007,V001,1,38.9,0.0,38.9,14.0,24.9
155,2023-01-01,L011,P001,V002,2,45.9,0.0,91.8,36.0,55.8
156,2023-01-01,L011,P002,V004,3,42.9,0.0,128.7,51.0,77.7
157,2023-01-01,L011,P006,V004,5,10.9,0.0,54.5,19.0,35.5
158,2023-01-01,L011,P002,V004,3,42.9,0.0,128.7,51.0,77.7
159,2023-01-01,L011,P001,V002,4,45.9,0.0,183.6,72.0,111.6
160,2023-01-01,L011,P006,V001,1,10.9,0.0,10.9,3.8,7.1
161,2023-01-01,L011,P006,V003,1,10.9,0.0,10.9,3.8,7.1
162,2023-01-01,L011,P006,V003,1,10.9,0.0,10.9,3.8,7.1
163,2023-01-01,L011,P006,V006,2,10.9,0.0,21.8,7.6,14.2
164,2023-01-01,L011,P008,V005,3,3.9,0.0,11.7,3.6,8.1
165,2023-01-01,L011,P008,V006,1,3.9,0.0,3.9,1.2,2.7
166,2023-01-01,L012,P006,V002,2,10.9,0.0,21.8,7.6,14.2
167,2023-01-01,L012,P002,V003,2,42.9,0.0,85.8,34.0,51.8
168,2023-01-01,L012,P002,V001,2,42.9,0.0,85.8,34.0,51.8
169,2023-01-01,L012,P007,V006,2,38.9,0.0,77.8,28.0,49.8
170,2023-01-02,L001,P007,V001,1,38.9,0.0,38.9,14.0,24.9
171,2023-01-02,L001,P008,V003,3,3.9,0.0,11.7,3.6,8.1
172,2023-01-02,L001,P001,V001,2,45.9,0.0,91.8,36.0,55.8
173,2023-01-02,L001,P007,V004,4,38.9,0.0,155.6,56.0,99.6
174,2023-01-02,L001,P007,V005,1,38.9,0.0,38.9,14.0,24.9
175,2023-01-02,L001,P002,V001,2,42.9,0.0,85.8,34.0,51.8
176,2023-01-02,L001,P007,V001,1,38.9,0.0,38.9,14.0,24.9
177,2023-01-02,L001,P002,V001,1,42.9,0.0,42.9,17.0,25.9
178,2023-01-02,L001,P007,V001,1,38.9,0.0,38.9,14.0,24.9
179,2023-01-02,L001,P008,V002,5,3.9,0.0,19.5,6.0,13.5
180,2023-01-02,L001,P006,V001,4,10.9,0.0,43.6,15.2,28.4
181,2023-01-02,L001,P007,V002,2,38.9,0.0,77.8,28.0,49.8
182,2023-01-02,L001,P007,V005,4,38.9,0.0,155.6,56.0,99.6
183,2023-01-02,L001,P001,V005,1,45.9,0.0,45.9,18.0,27.9
184,2023-01-02,L001,P001,V004,1,45.9,0.0,45.9,18.0,27.9
185,2023-01-02,L002,P008,V005,4,3.9,0.0,15.6,4.8,10.8
186,2023-01-02,L002,P007,V005,3,38.9,0.0,116.7,42.0,74.7
187,2023-01-02,L002,P005,V003,3,12.9,0.0,38.7,13.5,25.2
188,2023-01-02,L002,P002,V006,2,42.9,0.0,85.8,34.0,51.8
189,2023-01-02,L002,P008,V003,1,3.9,0.0,3.9,1.2,2.7
190,2023-01-02,L002,P002,V003,3,42.9,0.0,128.7,51.0,77.7
191,2023-01-02,L002,P006,V002,2,10.9,0.0,21.8,7.6,14.2
192,2023-01-02,L002,P008,V006,1,3.9,0.0,3.9,1.2,2.7
193,2023-01-02,L003,P005,V004,3,12.9,0.0,38.7,13.5,25.2
194,2023-01-02,L003,P005,V001,2,12.9,0.0,25.8,9.0,16.8
195,2023-01-02,L003,P001,V004,4,45.9,0.0,183.6,72.0,111.6
196,2023-01-02,L003,P007,V005,2,38.9,0.0,77.8,28.0,49.8
197,2023-01-02,L003,P001,V001,3,45.9,0.0,137.7,54.0,83.7
198,2023-01-02,L003,P007,V002,2,38.9,0.0,77.8,28.0,49.8
199,2023-01-02,L003,P007,V003,3,38.9,0.0,116.7,42.0,74.7
200,2023-01-02,L003,P002,V003,4,42.9,0.0,171.6,68.0,103.6
201,2023-01-02,L003,P001,V002,2,45.9,0.0,91.8,36.0,55.8
202,2023-01-02,L003,P005,V003,3,12.9,0.0,38.7,13.5,25.2
203,2023-01-02,L004,P002,V004,2,42.9,0.0,85.8,34.0,51.8
204,2023-01-02,L004,P007,V006,3,38.9,0.0,116.7,42.0,74.7
205,2023-01-02,L004,P005,V005,5,12.9,0.0,64.5,22.5,42.0
206,2023-01-02,L004,P008,V005,1,3.9,0.0,3.9,1.2,2.7
207,2023-01-02,L004,P001,V006,1,45.9,0.0,45.9,18.0,27.9
208,2023-01-02,L004,P007,V003,5,38.9,0.0,194.5,70.0,124.5
209,2023-01-02,L004,P008,V001,2,3.9,0.0,7.8,2.4,5.4
210,2023-01-02,L004,P002,V003,2,42.9,0.0,85.8,34.0,51.8
211,2023-01-02,L004,P001,V001,5,45.9,0.0,229.5,90.0,139.5
212,2023-01-02,L004,P008,V005,1,3.9,0.0,3.9,1.2,2.7
213,2023-01-02,L004,P002,V003,5,42.9,0.0,214.5,85.0,129.5
214,2023-01-02,L005,P005,V005,1,12.9,0.0,12.9,4.5,8.4
215,2023-01-02,L005,P002,V006,6,42.9,0.0,257.4,102.0,155.4
216,2023-01-02,L005,P005,V002,6,12.9,0.0,77.4,27.0,50.4
217,2023-01-02,L005,P008,V006,3,3.9,0.0,11.7,3.6,8.1
218,2023-01-02,L005,P005,V005,5,12.9,0.0,64.5,22.5,42.0
219,2023-01-02,L005,P006,V003,2,10.9,0.0,21.8,7.6,14.2
220,2023-01-02,L005,P001,V001,2,45.9,0.0,91.8,36.0,55.8
221,2023-01-02,L005,P008,V004,3,3.9,0.0,11.7,3.6,8.1
222,2023-01-02,L005,P005,V001,2,12.9,0.0,25.8,9.0,16.8
223,2023-01-02,L005,P001,V003,1,45.9,0.0,45.9,18.0,27.9
224,2023-01-02,L005,P002,V006,3,42.9,0.0,128.7,51.0,77.7
225,2023-01-02,L005,P005,V002,2,12.9,0.0,25.8,9.0,16.8
226,2023-01-02,L005,P008,V004,3,3.9,0.0,11.7,3.6,8.1
227,2023-01-02,L006,P007,V006,1,38.9,0.0,38.9,14.0,24.9
228,2023-01-02,L006,P006,V005,2,10.9,0.0,21.8,7.6,14.2
229,2023-01-02,L006,P001,V001,3,45.9,0.0,137.7,54.0,83.7
230,2023-01-02,L006,P001,V006,2,45.9,0.0,91.8,36.0,55.8
231,2023-01-02,L006,P002,V005,3,42.9,0.0,128.7,51.0,77.7
232,2023-01-02,L006,P001,V003,2,45.9,0.0,91.8,36.0,55.8
233,2023-01-02,L006,P007,V005,1,38.9,0.0,38.9,14.0,24.9
234,2023-01-02,L006,P002,V004,2,42.9,0.0,85.8,34.0,51.8
235,2023-01-02,L006,P002,V001,1,42.9,0.0,42.9,17.0,25.9
236,2023-01-02,L007,P005,V003,2,12.9,0.0,25.8,9.0,16.8
237,2023-01-02,L007,P001,V003,2,45.9,0.0,91.8,36.0,55.8
238,2023-01-02,L007,P002,V006,4,42.9,0.0,171.6,68.0,103.6
239,2023-01-02,L008,P002,V006,1,42.9,0.0,42.9,17.0,25.9
240,2023-01-02,L008,P001,V003,2,45.9,0.0,91.8,36.0,55.8
241,2023-01-02,L008,P007,V004,3,38.9,0.0,116.7,42.0,74.7
242,2023-01-02,L008,P007,V006,2,38.9,0.0,77.8,28.0,49.8
243,2023-01-02,L008,P002,V002,3,42.9,0.0,128.7,51.0,77.7
244,2023-01-02,L009,P002,V002,3,42.9,0.0,128.7,51.0,77.7
245,2023-01-02,L009,P006,V001,3,10.9,0.0,32.7,11.4,21.3
246,2023-01-02,L009,P002,V006,1,42.9,0.0,42.9,17.0,25.9
247,2023-01-02,L009,P005,V004,1,12.9,0.0,12.9,4.5,8.4
248,2023-01-02,L009,P008,V006,2,3.9,0.0,7.8,2.4,5.4
249,2023-01-02,L009,P002,V003,4,42.9,0.0,171.6,68.0,103.6
250,2023-01-02,L009,P002,V006,1,42.9,0.0,42.9,17.0,25.9
251,2023-01-02,L009,P001,V004,3,45.9,0.0,137.7,54.0,83.7
252,2023-01-02,L009,P001,V004,2,45.9,0.0,91.8,36.0,55.8
253,2023-01-02,L010,P002,V002,1,42.9,0.0,42.9,17.0,25.9
254,2023-01-02,L010,P006,V003,2,10.9,0.0,21.8,7.6,14.2
255,2023-01-02,L010,P005,V002,2,12.9,0.0,25.8,9.0,16.8
256,2023-01-02,L010,P002,V001,5,42.9,0.0,214.5,85.0,129.5
257,2023-01-02,L010,P008,V002,1,3.9,0.0,3.9,1.2,2.7
258,2023-01-02,L010,P006,V003,2,10.9,0.0,21.8,7.6,14.2
259,2023-01-02,L011,P005,V001,4,12.9,0.0,51.6,18.0,33.6
260,2023-01-02,L011,P005,V003,4,12.9,0.0,51.6,18.0,33.6
261,2023-01-02,L011,P008,V005,1,3.9,0.0,3.9,1.2,2.7
262,2023-01-02,L011,P006,V006,3,10.9,0.0,32.7,11.4,21.3
263,2023-01-02,L011,P007,V003,3,38.9,0.0,116.7,42.0,74.7
264,2023-01-02,L012,P001,V001,3,45.9,0.0,137.7,54.0,83.7
265,2023-01-02,L012,P005,V002,1,12.9,0.0,12.9,4.5,8.4
266,2023-01-02,L012,P007,V003,6,38.9,0.0,233.4,84.0,149.4
267,2023-01-02,L012,P001,V001,3,45.9,0.0,137.7,54.0,83.7
268,2023-01-02,L012,P007,V004,2,38.9,0.0,77.8,28.0,49.8
269,2023-01-02,L012,P005,V006,1,12.9,0.0,12.9,4.5,8.4
270,2023-01-02,L012,P005,V004,3,12.9,0.0,38.7,13.5,25.2
271,2023-01-02,L012,P007,V005,3,38.9,0.0,116.7,42.0,74.7
272,2023-01-02,L012,P001,V004,3,45.9,0.0,137.7,54.0,83.7
273,2023-01-03,L001,P007,V002,7,38.9,0.0,272.3,98.0,174.3
274,2023-01-03,L001,P005,V001,6,12.9,0.0,77.4,27.0,50.4
275,2023-01-03,L001,P008,V004,2,3.9,0.0,7.8,2.4,5.4
276,2023-01-03,L001,P001,V005,2,45.9,0.0,91.8,36.0,55.8
277,2023-01-03,L001,P007,V006,1,38.9,0.0,38.9,14.0,24.9
278,2023-01-03,L001,P008,V006,1,3.9,0.0,3.9,1.2,2.7
279,2023-01-03,L001,P008,V006,4,3.9,0.0,15.6,4.8,10.8
280,2023-01-03,L001,P002,V003,2,42.9,0.0,85.8,34.0,51.8
281,2023-01-03,L001,P006,V001,5,10.9,0.0,54.5,19.0,35.5
282,2023-01-03,L001,P008,V003,5,3.9,0.0,19.5,6.0,13.5
283,2023-01-03,L001,P007,V003,1,38.9,0.0,38.9,14.0,24.9
284,2023-01-03,L001,P008,V001,1,3.9,0.0,3.9,1.2,2.7
285,2023-01-03,L001,P008,V003,2,3.9,0.0,7.8,2.4,5.4
286,2023-01-03,L001,P007,V003,5,38.9,0.0,194.5,70.0,124.5
287,2023-01-03,L001,P008,V004,2,3.9,0.0,7.8,2.4,5.4
288,2023-01-03,L002,P005,V004,4,12.9,0.0,51.6,18.0,33.6
289,2023-01-03,L002,P008,V003,2,3.9,0.0,7.8,2.4,5.4
290,2023-01-03,L002,P007,V002,2,38.9,0.0,77.8,28.0,49.8
291,2023-01-03,L002,P002,V004,2,42.9,0.0,85.8,34.0,51.8
292,2023-01-03,L002,P008,V004,2,3.9,0.0,7.8,2.4,5.4
293,2023-01-03,L002,P008,V006,5,3.9,0.0,19.5,6.0,13.5
294,2023-01-03,L002,P002,V005,4,42.9,0.0,171.6,68.0,103.6
295,2023-01-03,L002,P007,V003,8,38.9,0.0,311.2,112.0,199.2
296,2023-01-03,L003,P006,V005,2,10.9,0.0,21.8,7.6,14.2
297,2023-01-03,L003,P001,V003,3,45.9,0.0,137.7,54.0,83.7
298,2023-01-03,L003,P005,V002,1,12.9,0.0,12.9,4.5,8.4
299,2023-01-03,L003,P006,V005,4,10.9,0.0,43.6,15.2,28.4
300,2023-01-03,L003,P007,V006,3,38.9,0.0,116.7,42.0,74.7
301,2023-01-03,L003,P005,V004,5,12.9,0.0,64.5,22.5,42.0
302,2023-01-03,L003,P006,V004,2,10.9,0.0,21.8,7.6,14.2
303,2023-01-03,L003,P008,V002,1,3.9,0.0,3.9,1.2,2.7
304,2023-01-03,L003,P007,V004,2,38.9,0.0,77.8,28.0,49.8
305,2023-01-03,L003,P008,V002,3,3.9,0.0,11.7,3.6,8.1
306,2023-01-03,L003,P008,V001,4,3.9,0.0,15.6,4.8,10.8
307,2023-01-03,L003,P005,V005,1,12.9,0.0,12.9,4.5,8.4
308,2023-01-03,L003,P008,V006,1,3.9,0.0,3.9,1.2,2.7
309,2023-01-03,L003,P007,V003,4,38.9,0.0,155.6,56.0,99.6
310,2023-01-03,L003,P001,V002,3,45.9,0.0,137.7,54.0,83.7
311,2023-01-03,L004,P008,V003,2,3.9,0.0,7.8,2.4,5.4
312,2023-01-03,L004,P002,V002,4,42.9,0.0,171.6,68.0,103.6
313,2023-01-03,L004,P002,V001,4,42.9,0.0,171.6,68.0,103.6
314,2023-01-03,L004,P001,V002,4,45.9,0.0,183.6,72.0,111.6
315,2023-01-03,L004,P006,V005,1,10.9,0.0,10.9,3.8,7.1
316,2023-01-03,L004,P001,V004,5,45.9,0.0,229.5,90.0,139.5
317,2023-01-03,L004,P006,V006,6,10.9,0.0,65.4,22.8,42.6
318,2023-01-03,L005,P007,V002,1,38.9,0.0,38.9,14.0,24.9
319,2023-01-03,L005,P008,V006,2,3.9,0.0,7.8,2.4,5.4
320,2023-01-03,L005,P006,V004,2,10.9,0.0,21.8,7.6,14.2
321,2023-01-03,L005,P006,V002,3,10.9,0.0,32.7,11.4,21.3
322,2023-01-03,L005,P002,V006,1,42.9,0.0,42.9,17.0,25.9
323,2023-01-03,L005,P008,V001,1,3.9,0.0,3.9,1.2,2.7
324,2023-01-03,L005,P001,V004,3,45.9,0.0,137.7,54.0,83.7
325,2023-01-03,L005,P002,V002,3,42.9,0.0,128.7,51.0,77.7
326,2023-01-03,L005,P008,V005,1,3.9,0.0,3.9,1.2,2.7
327,2023-01-03,L005,P006,V001,2,10.9,0.0,21.8,7.6,14.2
328,2023-01-03,L005,P007,V002,4,38.9,0.0,155.6,56.0,99.6
329,2023-01-03,L006,P001,V004,1,45.9,0.0,45.9,18.0,27.9
330,2023-01-03,L006,P002,V004,1,42.9,0.0,42.9,17.0,25.9
331,2023-01-03,L006,P008,V005,3,3.9,0.0,11.7,3.6,8.1
332,2023-01-03,L006,P007,V005,1,38.9,0.0,38.9,14.0,24.9
333,2023-01-03,L007,P005,V004,5,12.9,0.0,64.5,22.5,42.0
334,2023-01-03,L007,P007,V006,1,38.9,0.0,38.9,14.0,24.9
335,2023-01-03,L007,P007,V004,5,38.9,0.0,194.5,70.0,124.5
336,2023-01-03,L007,P007,V004,1,38.9,0.0,38.9,14.0,24.9
337,2023-01-03,L008,P002,V006,3,42.9,0.0,128.7,51.0,77.7
338,2023-01-03,L008,P006,V004,5,10.9,0.0,54.5,19.0,35.5
339,2023-01-03,L008,P005,V002,2,12.9,0.0,25.8,9.0,16.8
340,2023-01-03,L008,P008,V003,1,3.9,0.0,3.9,1.2,2.7
341,2023-01-03,L008,P007,V004,3,38.9,0.0,116.7,42.0,74.7
342,2023-01-03,L008,P008,V002,3,3.9,0.0,11.7,3.6,8.1
343,2023-01-03,L009,P005,V004,3,12.9,0.0,38.7,13.5,25.2
344,2023-01-03,L009,P001,V006,3,45.9,0.0,137.7,54.0,83.7
345,2023-01-03,L009,P005,V002,3,12.9,0.0,38.7,13.5,25.2
346,2023-01-03,L009,P005,V003,3,12.9,0.0,38.7,13.5,25.2
347,2023-01-03,L009,P005,V005,3,12.9,0.0,38.7,13.5,25.2
